YEAR,STATE,RATE,DEATHS
2016,MI,14.3,"1,791"
2016,MN,8.8,588
2016,MS,22.8,763
2016,MO,19.6,"1,483"
2016,MT,11.3,155
2016,NE,9.5,220
2016,NV,8.8,274
2016,NH,9.4,161
2016,NJ,13.8,"1,535"
2016,NM,11.7,293
2016,NY,9.8,"2,385"
2016,NC,17.1,"2,002"
2016,ND,11.3,106
2016,OH,15.4,"2,262"
2016,OK,12.9,577
2016,OR,7.7,398
2016,PA,15.7,"2,813"
2016,RI,9.9,141
2016,SC,15.3,897
2016,SD,7.6,90
2016,TN,14.9,"1,150"
2016,TX,15.8,"4,125"
2016,UT,15.2,370
2016,VT,3.7,30
2016,VA,16.6,"1,543"
2016,WA,6.6,532
2016,WV,19.3,481
2016,WI,13,960
2016,WY,10,66
2015,AL,18.4,"1,040"
2015,AK,10,50
2015,AZ,5.5,458
2015,AR,19.8,707
2015,CA,8.6,"3,557"
2015,CO,8.5,458
2015,CT,12.1,584
2015,DE,14.5,174
2015,FL,10.8,"3,203"
2015,GA,19.2,"1,881"
2015,HI,10.8,202
2015,ID,8.7,154
2015,IL,17.3,"2,543"
2015,IN,18.9,"1,450"
2015,IA,8,336
2015,KS,16.8,582
2015,KY,19.7,998
2015,LA,23.2,"1,160"
2015,ME,11.4,211
2015,MD,12.3,834
2015,MA,14.3,"1,228"
2015,MI,15.6,"1,921"
2015,MN,9.7,639
2015,MS,22,731
2015,MO,19.9,"1,483"
2015,MT,9.3,121
2015,NE,11.2,264
2015,NV,10.5,316
2015,NH,11.4,194
2015,NJ,14.4,"1,582"
2015,NM,12.9,316
2015,NY,9.3,"2,245"
2015,NC,16,"1,821"
2015,ND,12.5,118
2015,OH,14.5,"2,100"
2015,OK,14.2,616
2015,OR,8.2,409
2015,PA,16.9,"3,021"
2015,RI,9.8,142
2015,SC,15.5,886
2015,SD,7.4,79
2015,TN,14.4,"1,090"
2015,TX,16.1,"4,052"
2015,UT,15.6,363
2015,VT,4.5,39
2015,VA,16.1,"1,470"
2015,WA,5.9,474
2015,WV,20.4,510
2015,WI,13.7,996
2015,WY,13.3,86
2014,AL,18.2,"1,011"
2014,AK,10.1,45
2014,AZ,4.1,325
2014,AR,19.2,672
2014,CA,7.7,"3,119"
2014,CO,8.5,448
2014,CT,12.9,605
2014,DE,14.8,173
2014,FL,10.6,"3,076"
2014,GA,18.5,"1,742"
2014,HI,11.8,220
2014,ID,8,137
2014,IL,17.2,"2,517"
2014,IN,18.7,"1,392"
2014,IA,7.6,313
2014,KS,16.6,569
2014,KY,19.5,968
2014,LA,24.9,"1,217"
2014,ME,11.7,223
2014,MD,11.5,751
2014,MA,14.5,"1,228"
2014,MI,15.2,"1,853"
2014,MN,10.4,676
2014,MS,21.3,701
2014,MO,19.6,"1,452"
2014,MT,9.7,125
2014,NE,11.5,265
2014,NV,12.8,365
2014,NH,10.2,167
2014,NJ,13.8,"1,502"
2014,NM,11.3,267
2014,NY,9.3,"2,207"
2014,NC,16.3,"1,791"
2014,ND,11,104
2014,OH,14.1,"2,002"
2014,OK,14.2,604
2014,OR,7.7,378
2014,PA,15.7,"2,798"
2014,RI,9.4,135
2014,SC,15.1,837
2014,SD,6.5,72
2014,TN,14.1,"1,036"
2014,TX,16.5,"4,008"
2014,UT,17.2,393
2014,VT,4.5,37
2014,VA,17.6,"1,553"
2014,WA,6.2,481
2014,WV,19.6,479
2014,WI,13.5,980
2014,WY,12.2,78
2005,AL,22.1,"1,036"
2005,AK,10.5,38
2005,AZ,10.5,608
2005,AR,20.6,624
2005,CA,7.7,"2,482"
2005,CO,12.5,470
2005,CT,13.7,580
2005,DE,14.7,128
2005,FL,10.5,"2,416"
2005,GA,21.2,"1,520"
2005,HI,10.5,150
2005,ID,8.2,110
2005,IL,18.9,"2,402"
2005,IN,20.3,"1,284"
2005,IA,6.4,250
2005,KS,16.9,517
2005,KY,21.9,912
2005,LA,27.7,"1,187"
2005,ME,15.9,250
2005,MD,14.1,752
2005,MA,19.1,"1,410"
2005,MI,16.2,"1,681"
2005,MN,12.3,669
2005,MS,23.7,667
2005,MO,18.3,"1,156"
2005,MT,10.2,109
2005,NE,12.3,245
2005,NV,22,438
2005,NH,13.1,173
2005,NJ,17.1,"1,597"
2005,NM,13,239
2005,NY,11.4,"2,360"
2005,NC,18.6,"1,561"
2005,ND,7.9,67
2005,OH,15.2,"1,902"
2005,OK,15.3,564
2005,OR,7.4,295
2005,PA,19.8,"3,108"
2005,RI,11.8,156
2005,SC,19.6,823
2005,SD,5.8,55
2005,TN,11.9,719
2005,TX,14.9,"2,729"
2005,UT,10.3,177
2005,VT,7.7,52
2005,VA,18.4,"1,277"
2005,WA,7.5,450
2005,WV,20.4,442
2005,WI,15,930
2005,WY,13.6,66
